date,ret_c,ret_cbot,diff_ret
2021-04-30,3.876852907639683,31.147540983606547,-27.27
2015-06-30,-6.194331983805668,17.780938833570413,-23.98
2013-07-31,-3.308519437551693,-26.53662127346338,23.23
2021-07-31,-1.5308075009567546,-24.027777777777782,22.5
2012-06-30,-1.3513513513513489,21.11661413777577,-22.47
2007-12-31,-3.585657370517925,18.465539661898568,-22.05
2009-06-30,-2.105896510228644,-20.286532951289395,18.18
2019-05-31,2.8705636743215024,20.877565463552727,-18.01
2020-07-31,11.148325358851686,-6.646971935007384,17.8
2006-10-31,4.474431818181812,22.190476190476183,-17.72
2008-06-30,3.4648187633262277,20.942845223195672,-17.48
2012-07-31,2.654109589041087,19.925650557620813,-17.27
2024-09-30,-4.833190761334471,12.36772486772486,-17.2
2011-09-30,-4.632721202003342,-21.78217821782178,17.15
2008-12-31,-0.5780346820809301,16.452074391988546,-17.03
