组合,近月,远月,样本,当前价差,均值,std,最大,最小,Z,分位,信号,方向
C2701-C2703,C2701,C2703,42,-11.0,-7.5,3.6,1.0,-13.0,-0.98,26.0,中性,-
C2611-C2701,C2611,C2701,76,-9.0,-1.8,7.9,18.0,-12.0,-0.92,28.0,中性,-
C2611-C2703,C2611,C2703,42,-20.0,-14.9,6.5,-1.0,-24.0,-0.79,31.0,中性,-
C2607-C2701,C2607,C2701,76,15.0,25.3,15.7,53.0,-9.0,-0.66,32.0,中性,-
C2607-C2609,C2607,C2609,158,-13.0,-10.1,4.6,0.0,-28.0,-0.62,28.0,中性,-
C2607-C2611,C2607,C2611,119,24.0,30.4,10.9,58.0,3.0,-0.59,25.0,中性,-
C2609-C2701,C2609,C2701,76,28.0,35.3,13.5,61.0,7.0,-0.54,34.0,中性,-
C2609-C2611,C2609,C2611,119,37.0,40.3,9.1,64.0,18.0,-0.36,33.0,中性,-
C2607-C2703,C2607,C2703,42,4.0,7.2,14.6,38.0,-20.0,-0.22,40.0,中性,-
C2609-C2703,C2609,C2703,42,17.0,18.1,12.1,40.0,-4.0,-0.09,55.0,中性,-
