date,ret_sr,ret_ice,diff_ret
2020-03-31,-2.8425141242937824,-27.93914212444738,25.1
2010-09-30,3.350327749453741,28.101261959800226,-24.75
2018-10-31,1.8396320735852845,26.583488328289473,-24.74
2010-03-31,-6.552549236149452,-31.247406839690782,24.69
2010-06-30,3.208556149732611,27.061319378548433,-23.85
2008-07-31,-8.064516129032262,15.697677319858316,-23.76
2008-06-30,-2.950987939440597,20.15967476851983,-23.11
2015-10-31,-2.2561733878131096,19.309781156430006,-21.57
2011-06-30,1.5103933004336767,22.346851755731677,-20.84
2010-02-28,1.0226850130159892,-19.297660640061554,20.32
2015-03-31,4.889497359671435,-14.357501480146318,19.25
2009-08-31,12.01979731322178,31.058563082914837,-19.04
2010-01-31,-6.648151362610655,10.946192104185526,-17.59
2008-01-31,-2.808704453441291,14.232902082147847,-17.04
2012-06-30,-4.519774011299438,12.306896911735432,-16.83
